COMPANY NAME,CONTACT PERSON,LANDLINE NO,MO NO,EMAIL,ADDRESS,
HINDUSTAN PLATTINUM ,MS.SHRADDHA MHATRE,022-2768 3006 Extn. 294ÿ,,shraddha.mhatre@hp.co.in,"C-122ÿTTC INDL. AREA PAWANEÿ, NAVI MUMBAI 400 703ÿÿÿÿÿ",
HYDRO PNEUMATIC EQUIPMENTS,MR.NURUL VORA/Ms.Sonal Panchal ,079-25509004 ,9099959184,"rotex@valve.bz,nurulvora@valve.bz,customercare@valve.bz"," H.P.HOUSE SANTI SADAN ESTATE,OPP.DINBAI TOWER,NR.LUCKY TEA RESTAURANT,LAL DARWAZA,AHMEDABAD-1",
"INDUSTRIAL AUTOMATION CONTROLS,",MR.RAJU MUDALIAR/MR.PULIN ,,09227111194/09974093418/9227111194,,"80,KAMAL ESTATE, OPP. HOTEL,SAMIR, BOMBAY CONDUCTOR ROAD,VATVA, AHMEDABAD-GUJARAT.",
Innovative Instruments and Controls LLP,MR. PIYUSH,022-66939918ÿ,,"piyush@innovativeinstruments.co.in,vikas@innovativeinstruments.co.in","338,NEW SONAL LINK INDUSTRIAL ESTATE NO.2,LINK ROAD,KAANCHPADA,MALAD (W),MUMBAI-400064ÿ",
ISHAN AUTOMATION ,MR.HITESH PURANI,,9825023781,"purani.hitesh@gmail.com,automationishan@gmail.com","A/1,TULSIKUNJ SOCIETY,B/H. VAIBHAV HALL, N.H.NO 8 GHODASAR AHMEDABAD",
KAILASH SALES CORPORATION ,Harshal Shah,079-25503356,098982 25440,kailash_sale@yahoo.com / kailashsales@gmail.com,"310,RELIEF SHOPPING CENTRE ,NR, G.P.O.,SALAPOSE ROAD AHMEDABAD0380 001",
MAXON ENGINEERS,MR.TAPAN PATEL ,079 -22172185,98250 39185,maxon_engineers@yahoo.com/maxon.engineers@gmail.com,"3, AMARDEEP ESTATE, NR. ANUPAM CINEMA,KHOKHRA ROAD,AHMEDABADÿ- 382421, GUJARAT, INDIA ",
METER CENTRE,MR.SURENDRA,"(079) 22131445,ÿ22131274,ÿ ",,metercentreahmd@yahoo.co.in/mcsales444@gmail.com,"1778/5,ÿNEAR MODEL CINEMA NEAR MAMUNAYAKS POLE,ÿGANDHI ROAD,ÿAHMEDABAD - 380001 ",
"Micon Automation Systems Pvt.Ltd.,",NIKET GORAKHIA ,079 3290 0400,9824006299,niket@miconindia.comÿÿÿÿÿÿÿ ,"A-814, SIDDHI VINAYAK TOWERS,OFF S. G. ROAD,, BEHIND ADANI CNG PUMP, OFF S. G. ROAD, MAKARABA, MAKARBA, AHMEDABAD, GUJARAT 380051",
OM SAI ENTERPRISE,MR.DINESH/mr.Nitin Rane,,91 9322 060 175 / +91 7498 526 815,omsaientp@rediffmail.com,"GALA NO.14, NEHA APRTMENTS, PLOT NO.7, SECTOR 20/C, AIROLI, NAVI-MUMBAI - 400 708. TEL : 3249 7058",
OSNA ELECTRONICS PVT. LTD.,Ms.manisha /Kamlesh Parmar,"0265 - 6450105, 2226383.",M : 9227491012,osnabaroda@osnaelectronics.net,"111, PHOENIX COMPLEX, NEAR SURAJ PLAZA, SAYAJIGUNJ, BARODA - 390 005",
PARAMOUNT SERVICES,mihir,079-22871922,9898569851,paramountcalibration@yahoo.co.in,"LABORATORY : L/12, GIDC, OPP, FIRE STATION ODHAV AHMEDABAD-382415",
RADIANT CONTROLS & AUTOMATION PVT. LTD.,MR.KETAN PATEL.,79-30126483/84,"98980 16908,  7046026483",ketanpatel_rcapl@yahoo.co.in,"A-2, 1ST FLOOR, ANAND COMPLEX,OPP. SOLA BRIDGE,B/H.GULAB TOWER,THALTEJ,AHMEDABAD",
RAYS ELECTRO ENGINEERS,MR. R.V.PATEL - RAMJI BHAI,,9825030014,info@rayselectro.com,"80 - RAGHUVIR ESTATE, OPP. JAY CHEMICALS,NR. RUDRAX COMPLEX,GIDC ODHAV,AHMEDABAD - 382415",
RUSHABH SALES,mr.tushar,79 22134502/79 22157178,9825042360,rushabhtraders@yahoo.co.in,"201, GOKUL CHAMBER, PADA POLE,GANDHI ROAD, AHEMDABAD -380001. GUJARAT (INDIA).",
SAGAR SCIENTIFIC & INSTRUMENTS,MR. RAKESH GANDHI (PROPRIETOR,8586981242,9322229724,se.rakesh.gandhi@gmail.com,"103A, SAI ASHIRWAD SOCIETY NAHAR NAGAR, MALAD WEST,MUMBAI - 400064, MAHARASHTRA, INDIA",
SERVILINK SYSTEMS,MR.BHAGYAWATI THAKKAR-,0265-2338039,9099903603/9978982897,prd.ssl@servilinksystems.com,"PRAKASH?, 2, ALKAPURI SOCIETY, ALKAPURI, VADODARA-390007",
SHIVAM ENTERPRISES.,MR.SHIV KUMAR,,9315871530,shivamenterprisesrwr@rediffmail.com,"KRISHNA NAGAR ,REWARI -123401,HARYANA,MO:09315871530",
SHRIJEE AGENCIES,MR.SANJAY SHAH,022-27898561/66,9867278000 / 0982015230,heattreat@vsnl.net,"SHOP NO. 3,ÿ SHIV PUJA ANNEX, PLOT NO.99, SEC-29, VASHI, NAVI MUMBAI 400 703",
Shreeji Marketing corporation. ,mr.Jalpesh Bhavsar,"079-2754 2046, 2754 0457 ",92278 52290,ahd@shreejimkt.com,"A-14, Ghanshyam Avenue, 13 Sattar Taluka Society, Near Samruddhi Bldg., High Court Cross Road, Ashram Road, Ahmedabad- 380 014.  Gujarat , INDIA.
",
SHRIJI ELECTRONICS,MR.VIPUL SHAH,2859 0847/2856 1036/2852 014,2859 0847/2856 1036/2852 014,shrijielectronics@gmail.com,",7, SHIVSAGAR SOCIETY, KRISHNA NAGAR, ANDHERI KURLA ROAD, SAFED POOL,PIPE LINE, MUMBAI-400 072 ",
SILICON TECHNOLOGIES,MR.JIGNESH,079-65411920,9925200349/9925200398,jignesh_kachhia@yahoo.com,"A-302, RADHE KISAN VILLA,NR.JAI MALA ROAD, ISHANPUR, AHMEDABAD - 382443",
SMARTTECH INSTRUMENTS & CONTROLS,MR.BIPIN PATEL,0260 - 2426461,9687658003,smarttic9@gmail.com,"PLOT NO.:ÿ C-1/2609, PHASE - 3, G.I.D.C.ÿ VAPI - 396195,GUJARAT (INDIA)",
SUNPRO INSTRUMENTS INDIA PVT LTD,MR.VINAYAK .M.BODHEÿ,020) 24321242 / 24320302 ,9422003496,sunproinst@gmail.com,"B-9 , KUMAR ASHIYANA , SINHAGAD ROAD ,ÿPANMALA , OPP RAMAKRISHNA MATH,PUNE - 411030, MAHARASHTRA , INDIAÿ",
TECHNO INSTRUMENTS,MR.ABHIJIT ,02764-268002-3-4,9723400653,abhijit.techno@gmail.com,"PLOT NO.1145/1,OPP.MARUTI INDUSTRIES,UMA CONVERTOR LANE,SANTEJ-RANCHHODPURA ROAD,SANTEJ,TAL-KALOL(N.G),DIST-GANDHINAGAR,PIN CODE-382721,GUJARAT",
TEMPTEK TECHNOLOGIES,MR.BHAVESH,,98254 14171,bhaveshtechno@gmail.com,"(MI CABLE DIVISION),PLOT NO. 832,NR. BHAVANI PHARMA SANTEJ,KALOL, GHANDHINAGAR - 382 721ÿ",
Toshniwal Instruments (Madras) Pvt Ltd,MR.MEET SHAH,0265-2987538,9924637178,baroda@toshniwal.net,"A-607,Alkapuri Arcade, R C Dutt Road,Baroda Gujarat-390007",
TRUMEN TECHNOLOGIES PVT LTD,"MR.RUPESH BHAVSAR, Surbhi Sahu","731-6562425, +91-731-2435106",7389933120,rupesh@trumen.in; surbhi@trumen.in; gaurav@trumen.in; preeti@trumen.in,"86, TILAK PATH, RAMBAGH,INDORE- 452007 ( MP ) INDIA",
UNITECH SYSTEMS,MR.NILESH,79-26584349-50-51,,unitech@unitechahd.com,"105,SHANAY-II,OPP.GANDHIGRAM RAILWAY STATION,B/H.HONDA SHOWROOM,OFF.ASHRAM ROAD,AHMEDABAD-380006",
USHA PNEUMATIC CO.,MR.ANKIT PANCHAL.,079-22740121 ,9879204011,ankit1102@yahoo.co.in,"2,SHREEJI INDUSTRIAL ESTATE,PANNA ESTATE ROAD,RAKHIAL,AHMEDABAD.GUJARAT,INDIA.",
VEGA INDIA LEVEL AND PRESSURE MEASUREMENT PVT. LTD,MR.HIREN PANCHAL-REGIONAL MANAGER,,9825866007,h.panchal@vega.com,"B-15, MADHUVAN SOCIETY, OPP.KALPVRUKSH COMPLEX, GOTRI ROAD,VADODARA ? 390021 GUJARAT.",
"VIMAL INSTRUMENTS,",MR.SAMIR SHAH,,098254 47916,samirshah43@gmail.com,"43/506, ASHIRWAD APPARTMENT, NR.TELE.EXCHANGE,NARANPURA, AHMEDABAD,GUJARAT,INDIA PIN 380 013.",
VISION ENVIRO INSTRUMENTSÿ,MR. PARESH MUNGRA,,81 41 04 27 16ÿ,sales.vision-enviro@hotmail.com,"5, PRACHI ESTATE, DEVNAGAR ROAD,GOTA,AHMEDABAD - 382 481",
Doshi & Sons,nilesh ,"+91-288-2675207.+91-9426433702, +9924333702",9426433702,doshi_sons@yahoo.com',"C-48/1, M. P. Shah Industrial Estate,Saru Section Road, Jamnagar,Gujarat ? 361002",
ADINATH EQUIPMENTS PVT.LTD,,,,,,
ELTEC Cables & Instruments,,,,,,
HI Temp Solutions,MR.Vishal Kamdar,9825272844-KETAN,94266 09098- Vishal,info@hitempsolutions.com,,
Kumar Ceramics Pvt.Ltd,,,,kumarceramics@gmail.com,"IDCO PLOT NO 31, GANESHWARPUR INDUSTRIAL AREA,BALASORE-756019, ODISHA",
Kaysons Tehcno Equipments Pvt.Ltd,mr.Nilesh Bhanderi /mr.amit,"(02692)235303, 229784",9427333000,admin@kaysonstechno.com,"1802/7, Phase IV, G.I.D.C.Estate, Vithal Udyognagar-388 121Gujarat, INDIA",
Lanco Pipes and Fittings,"mr.MANISH GANDHI
",,9619401449,lancopipes@gmail.com,"Add : Saboo Siddick Bldg, 1st Khetwadi, 3rd Floor, Room no. 63, Mumbai ? 400 004.",
Libratherm Electronics,mr.Amit Modi ,022-42555349,99099 51189,sales.guj@libratherm.com,"401-403, Diamond Industrial Estate,Ketki Pada Road, Dahisar East.Mumbai-400068, Maharashtra, INDIA
",
Fuji Electric India Pvt. Ltd. ,SMARJEET,Ph No.- +91-79-40094870/71ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ ,Mobile : +91-9712945871, smarjeet-j@fein.fujielectric.comÿÿÿ,"C- 101,102, Titanium Square, Thaltej Cross Road, S.G. Highway, Thaltej, Ahmedabad-380054 ",
"Industrial Automation Controls,",Raju Mudaliar,,Mobile: 09227111194/09974093418,iac_auto2005@yahoo.com,"Bombay Conductor Road, Vatva,ahmedabad",
Jupiter Integrated Sensor Systems Pvt.Ltd. ,Manish kadam,"Tel:- ++91-22-67551606,25185474,25170795","M:- 09819310591,09869384505", manishk@jupiterelectronics.co.in,Mumbai:- 400 079,
Amtek instrument,Krishna Patel,,9328810569,krishnap@amtekinstruments.com/amtek@amtekinstruments.com,"Nr. Prahalad nagar Garden, Anandnagar, Ahamedabad-15.",
ARTEE Flow Controls Pvt. Ltd.,H K BHATT ,"+91-2646-227439, +91-2646-227305,",,hkbhatt@arteeflow.com,Ankleshwar-393002. GUJARAT. India,
M I C R O C O N,Mahendra Therade ,,"7798989954,",info@microcon.co.in/vikasjain@microcon.co.in; logistics@microcon.co.in,"Village Valiv, Vasai ( East ),ÿ Dist ? Thane - 401 208, Maharashtra, INDIA, ",
Rishabh Instruments Pvt ltd.,Hemant Panchal . ,,9824409925,hemant.panchal.1983@gmail.com,"Off Ashram Road, Ahmedabad - 380009.",
Vimal Instruments,Samir Shah,Ph : +91-98254 47916,ÿÿÿÿÿ +91-76004 33477, Samirshah43@gmail.com,"Naranpura,Ahmedabad",
British Electrical,Himat Joshi,,,sales@britishelectricals.com,Bombay ,
SUNPRO INSTRUMENTS (INDIA) PVT LTD,Vinayak Bodhe / Director, (020) 24321242 / 24320302 ,+91 9422003496,info@sunproinst.com,"B-7/9, Kumar Ashiyana, Panmala, Sinhagad Road, Pune 411030",
AMBETRONICS ENGINEERS PVT. LTD.,ekram,022 6699 5525,,sales1@ambetronics.com,,
Temptek Technologies,Bhavesh Parikh,+91 - 2764 268060,(M) 09825414171,bhaveshtechno@gmail.com,"Plot No 832, Near Bhavani Pharmaceuticals,KHOTARI CROSS ROAD, SANTEJ KALOL GANDHINAGAR India :382721",
niki insulation pvt ltd,siddharth chudgar,9898021782,079-22139963,rrchudgar@gmail.com,ahmedabad,
Toshniwal Industries Pvt. Ltd.,Vineet Bansalÿ|ÿSales Manager,9376590001,,vineet.bansal@tipl.comÿ,AJMER,
Toshniwal Instruments Mfg.Pvt.Ltd.,P.S. Mathur,Mobile : 09314397717,,admin@toshcon.com/online@toshcon.com/anlytical@toshcon.com,Distt. Ajmer (Raj.) India,
NIPPON INDIA,Darshan Joshi.,,+91 22 40620000 ,info@nipponindia.com / sales@nipponindia.com,"237/8, SONAL LINK INDUSTRIAL ESTATE,BLDG. # 2, LINK ROAD, MALAD (W)MUMBAI ? 400064.",
Pima Controls Pvt. Ltd.,Neha Parikh /janki,Phone : +91-79-40210435,,nehap@pimacontrols.com/jankip@pimacontrols.com/sales@pimacontrols.com,"4A, New York Corner, Bodakdev,ahmedabad-380015",
N.D.AUTOMATIONÿ,Sanap Balasaheb ,9552521295,: Mb :ÿ09850025591,ndautomation2004@gmail.com,"Shree Industrial Premises ,1stÿFloor ,General block - 111 , behind Radix Mould Dia Company ,ÿNear Landewadi Chowk , Philips Road Bhosari Pune -411026.ÿ",
Visha Electomation Pvt Ltd.,Jollyÿ Patel,,,admin@electomation.com,,
BALAJI ENGINEERS,HARSH PANCHAL,+91 99244 45481,+91 70415 50102,balaji.engineers21 [balaji.engineers21@gmail.com],"ADDRESS :ÿSHED NO. 2, OPP RAMJI MANDIR,NEAR ASHTAVINAYAK COMPLEX,BARDOLPURA,DARIYAPUR,AHMEDABAD, GUJARAT, INDIAPOSTAL CODE : 380 001",
B. R. ENTERPRISE,Bhakti Mevada.,9909533288 / 9099024894,,"info@brvalves.in,breahmedabad@gmail.com","Shop No:124 -125 ÿ,ÿShreedhar Flora, ÿB/h. Galaxy Business Park,ÿ ÿNikol, ÿÿAhmedabad. (GUJARAT) 382430.",
MANOMETER (INDIA) PVT. LTD.,S.N. SHAH,,Tel.No. 91-22-24940164/66,manometer@vsnl.com,"Aurus Chambers, 504, B Wing,S.S. Amrutwar Marg,Worli, Mumbai - 400 013",
Arihant Elsys Pvt. Limited ,Amit chaturvedi,9099058633,+91-265 2336039,Amit.chaturvedi@arihantelectricals.com,Vadodara-390015,
MANGALAM INDUSTRIAL PRODUCT,PRAKASH SHAH ,Ph. : 079 22131665,Cell : 98250 37621,info@mangalamip.com,"640/7 , Narottam Building ,Kapasia Bazar , kalupur,Ahmedabad -ÿ 380 001",
Sai-Tech Controls,Chintan Naik/Alok Naik -, -ÿ09624610304ÿ, 09925010304ÿ ÿ,saitech.controls@gmail.com,"T-11, Silver Plaza,ÿNear Sardar Patel Complex, GIDC Estate,ÿAnkleshwar ? 393002",
Volga Freeze ,Jigar N. Bhalavat/Falguni Kharwa ,"0265 - 2358919, 2334704", +91-8376809808/9227134682 ,volgagroup@gmail.com,", Vadodara ",
CHIRAG ELECTRONICS,,-9687191828,079 - 22136323 / 2213608,"info@chiragelectronics.com,mktg@chiragelectronics.com","36, Akashneem Bunglows ,Opp Nehru Foundation,Vastrapur Road AHMEDABAD-380054.",
PROCESS INSTRUMENTS,Hardik Patel ,"Tel: 02646-221680, Cell: 09624700899",,contact@processinst.com,G-10 JAMES PLAZA SQUARE  ASIAN PAINTS CHOWKDI ANKLESHWAR-393002  GUJARAT,
OPTIMA INSTRUMENTS ,Praful Jethva,+91-265 ?6640913 / ,9825329223,"optima@optimainstruments.com, optima4u@rediffmail.com ","303, SILVER LINE COMPLEX, OPP. BBC TOWER, SAYAJIGANJ, VADODARA-390 005. Gujarat ( India",
national enterprize,komal vora,9769738254,,nationalenterprise99@gmail.com,bombe,
" RUPRAJ TECHNICAL SERVICES,",Hiren Patel,,,hiren@rupraj.com/mehul@rupraj.com,,
ASQ BUSINESS SOLUTION ,PRAKASH  ,7043135443,,prakash.asq@gmail.com,,
r a electrical ,nanubhai ,9409156334,ahmedabad ,info@raelectricals.com,,
Supremo Polymer Industriesÿ,Amit Patel /Mayank Raval ,Ph : 079 - 22205181,9724505282/9925685282,supremoproduct@gmail.com,"8, Darshan Industrial Estate, Nr. Chirag Daimond, L.B.S.Stadium Road,Bapunagar, Ahmedabad - 380024.ÿ",
CHANDRESH CABLE LTD,P.K. Sanghvi,91-79-25623055/56/57,9879009030,"sales@avocab.com,power@avocab.com,info@avocab.com","H.O: G-6 New Madhupura Market,Nr.Police Commi.Office Shahibaug Road,Ahemdabad 380 004 Gujarat INDIA",
Newtech Marketing International,Prem,9820314325,,"dodiaprem@gmail.com, jayshreemetal1@gmail.com","115-117, Dr. Mahimtura marg, 3rd kumbhar wada lane, 56 gulab mansion, near S.V.P. Road, Mumbai-400004",
HEATCON SMART SYSTEMS PRIVATE LIMITED,P.Jayachandran,044 4385 9304,093 8299 0001,heatconsmart@gmail.com,"Lakshmi Apartments,ÿNo: 95, Periyar Pathai, Choolaimedu,Chennai-600 094 Tamil Nadu, India.",
SCIENTIFIC DEVICES (BOMBAY) PVT. LTD,Mehboob A.Khan ( Director),91-22-2549 1407 / 2549 1408 / 2549 1409/ 91-22-2549 2779 / 2754 0585 / 2754 0586,91-8692048496,"sdbpl@vsnl.com,sales@scientificdevices.org
","Office no. 53, Shree Manoshi Complex, Plot No. 5 & 6,Sector 3, Opp, Ghansoli Railway Station,Ghansoli (East ), Navi Mumbai-400701,Maharashtra. INDIA.",
SHREE VALLABH CORPORATION,SUPRIYA/ Sanjay shah,022 2789 8561 / 66,098672 78000 / 098201 52730,heattreat@vsnl.net,"SHOP NO. 3, SHIV POOJA ANNEX,PLOT NO. 99, SECTOR -29, VASHI, NAVI MUMBAI 400 705",
ELTEC CABLES & INSTRUMENTSÿ,NAYANA CHAVDA,281 2480400.,94269 69542 ,eltecin@gmail.com,"16, Bhaktinagar Station Plot, RAJKOT - 360 002.ÿINDIA.",
AUTOMATION SYSTEM ENGINEERS P. LTD,Vijay Savaliya ,,7940081520,"inside.sales1@asepl.in ,orderprocess@asepl.in","Automation House-4,  Sardar Patel Nagar, Navrangpura, Ahmedabad-380006",
AVALON PROCESS CONTROLS,NASIR BHAI,8866644655,"9722222336, ",avalon.controls@yahoo.com,"B-237,Electronic Estate,sector-25, GIDC, Gandhinagar-382024, Ahmedabad",
Dembla Valves Ltd,Kirit B. Mistry,9879005540,,"gujaratsales@dembla.com,kk@dembla.com,technical@dembla.com","C-30, Jai Mata Di Compound,Thane-Bhiwandi-Agra Road  Kalher-421302. Maharashtra (India).",
"HEATCON SMART SYSTEMS PRIVATE LIMITED.,     ",P.Jayachandran,044 4385 9304,093 8299 0001,heatconsmart@gmail.com ,"Lakshmi Apartments,ÿNo: 95, Periyar Pathai, Choolaimedu,Chennai-600 094 Tamil Nadu, India.",
KIRAN ELECTRONICS ( nippon),,79-22136323/22136083 ,9687 191919,info@kiranelectronics.com,"Soni No Khancho ,  Nr. Dhanasuthar Ni Pol, Relief   Road,  AHMEDABAD-380001",
AMBICA ELECTRIC COMPANY,JAGDISH CHAUDHARY,"79 22113453, 22155011",9408877888,ambica.krc@gmail.com,"1778, Nr. HDFC Bank,Gandhi Road , Ahmedabad, Gujarat ? 380001.",
EIE Instruments Pvt. Ltd,Aarti Patel ,"079-66211204, 079-66211234",9227230010,"aarti@eieinstruments.com,info@eieinstruments.com","1001, Span Trade Centre, Opp. Kochrab Ashram, Paldi Ahmedabad - 380006",
Hylite Cables Pvt Ltd,Manoj Mahant,02692 297733,9327971257,sales@hylitecables.com,"49 GIDC Estate,V.U.Nagar 388 121,Dist:Anand,Gujarat.",
Veksler Flame Proof Products,"Prerna Shrivastav, Pradeep Vyas ",8511221219,,veksler.flp@gmail.com,"Plot No.- 1-2 & 15-16, GIDC, Nandesari, Vadodara",
DIGITAL MARKETING SYSTEMS PVT. LTD.,Prafulla Jain,,9302103470,"prafulla@digitalcontrols.org, sales@digitalcontrols.org","122,Kanchan Bagh,INDORE-452001(M.P.) ",
MTS Engineers Pvt Ltd,Manisha Parmar ( Director ,8049591026,(79) 26400063,info@mtsengrs.com,"B/408, Wall Street 2, Opp. Orient Club, Near Gujarat College, Ellisbridge, Opposite Orient Club, Ellis Bridge, Ahmedabad-380006, Gujarat, ",
PLACKA INSTRUMENTS INDIA PVT. LTD ,M.Lakshmanan (Manager-Marketing.,,"44-22231559, 2234562,44-22236984","placka@vsnl.com, sales@plackainstruments.com",,
,,,,,"5, Ramamoorthy Street, Nehru Nagar, Chrompet, Chennai - 600 044.",
